aquiredRound,refittedRound,defaultPersonality,variantID,shipName
1,1,steady,13_Enforcer_Bleargh,
1,1,steady,13_Enforcer_Bleargh,
1,1,steady,13_Enforcer_Bleargh,
1,1,steady,13_Enforcer_Bleargh,
1,1,steady,13_Enforcer_Bleargh,
1,1,steady,13_Enforcer_Bleargh,
1,1,aggressive,13_Enforcer_Pew,
1,1,aggressive,13_Enforcer_Pew,
1,1,aggressive,13_Enforcer_Pew,
1,1,aggressive,13_Enforcer_Pew,
1,1,cautious,13_Androphagus_Buzz,
1,1,cautious,13_Androphagus_Buzz,
1,1,steady,13_Omen_Decent,
1,1,steady,13_Omen_Decent,
1,1,steady,13_Omen_Decent,
1,1,steady,13_Omen_Decent,
1,1,steady,13_Omen_Decent,
1,1,steady,13_Omen_Decent,
1,1,steady,13_Omen_Decent,
1,1,steady,13_Omen_Decent,
