aquiredRound,refittedRound,defaultPersonality,variantID,shipName

1,1,timid,02_Ark_chihuahua,
1,1,timid,02_Ark_chihuahua,
1,1,timid,02_Ark_chihuahua,
1,1,timid,02_Ark_chihuahua,
1,1,timid,02_Ark_chihuahua,
1,1,timid,02_Ark_chihuahua,
1,1,timid,02_Ark_chihuahua,

1,1,timid,02_Ark_bischon,
1,1,timid,02_Ark_bischon,
1,1,timid,02_Ark_bischon,
1,1,timid,02_Ark_bischon,
1,1,timid,02_Ark_bischon,

1,1,aggressive,02_Ark_doog,
1,1,aggressive,02_Ark_doog,
1,1,aggressive,02_Ark_doog,
1,1,aggressive,02_Ark_doog,
