aquiredRound,refittedRound,defaultPersonality,variantID,shipName
1,1,steady,1997_LTA_Epattcudvi_Thunderbirds_StoogeNOWSYOUR,The Three Stooges
1,1,steady,1997_LTA_Epattcudvi_Thunderbirds_StoogeCHANCETO,The Three Stooges
1,1,steady,1997_LTA_Epattcudvi_Thunderbirds_StoogeBEABIGSHOT,The Three Stooges
1,1,reckless,1997_LTA_Dominator_Thunderbirds_JIM,JIM
1,1,timid,1997_LTA_Epattcudxi_Thunderbirds_Kromer,Zippy
1,1,timid,1997_LTA_Epattcudxi_Thunderbirds_Kromer,Lippy
1,1,timid,1997_LTA_Epattcudxi_Thunderbirds_Kromer,Bippy
1,1,timid,1997_LTA_Epattcudxi_Thunderbirds_Kromer,Dippy
1,1,timid,1997_LTA_Epattcudxi_Thunderbirds_Kromer,Whippy
1,1,timid,1997_LTA_Epattcudxi_Thunderbirds_Kromer,Mippy
1,1,timid,1997_LTA_Epattcudxxvi_[[Hyperlink_Blocked]],ippy
