aquiredRound,refittedRound,defaultPersonality,variantID,shipName
1,1,aggressive,player21_Sovereign,Rusted Iris
1,1,aggressive,player21_Aggressor,Bloom
1,1,aggressive,player21_Aggressor,Gloom
1,1,steady,player21_Calm,Here Comes Hope
1,1,steady,player21_Calm,Caesura of Despair
1,1,steady,player21_Calm,'till The End
1,1,steady,player21_Calm,One Step At A Time
1,1,steady,player21_Monitor,Light-Dark
1,1,steady,player21_Monitor,Dusk-Dawn
1,1,steady,player21_Monitor,Sun-Moon
1,1,steady,player21_Monitor,Warm-Cold
