aquiredRound,refittedRound,defaultPersonality,variantID,shipName
1,1,steady,9999_LTA_Consigliere_custom,
1,1,steady,9999_LTA_Consigliere_custom,
1,1,steady,9999_enforcer_xiv_tangerine,
1,1,steady,9999_enforcer_xiv_tangerine,
1,1,steady,9999_enforcer_xiv_tangerine,
1,1,steady,9999_enforcer_xiv_tangerine,
1,1,steady,9999_enforcer_xiv_clementine,
1,1,steady,9999_LTA_Enforcer_Thunderbirds_custom,
1,1,steady,9999_LTA_Enforcer_Thunderbirds_custom,
1,1,steady,9999_LTA_Enforcer_Thunderbirds_custom,
1,1,steady,9999_LTA_Enforcer_Thunderbirds_custom,
1,1,steady,9999_LTA_Enforcer_Thunderbirds_custom,
