aquiredRound,refittedRound,defaultPersonality,variantID,shipName
1,1,steady,TAG_Omen_Survive,"If my"
1,1,steady,TAG_Omen_Survive,"calculations"
1,1,steady,TAG_Omen_Survive,"are correct,"
1,1,steady,TAG_Omen_Survive,"when this baby"
1,1,steady,TAG_Omen_Survive,"hits 88 mph,"
1,1,steady,TAG_Omen_Survive,"you're going"
1,1,aggressive,TAG_XIVE_SOWasp,"to see"
1,1,aggressive,TAG_XIVE_SOWasp,"some serious shit."
1,1,aggressive,TAG_XIVE_SOWasp,"1.21 gigawatts!"
1,1,aggressive,TAG_XIVE_SOWasp,"This is heavy!"
1,1,aggressive,TAG_XIVE_SOWasp,"Great scott!"
1,1,aggressive,TAG_XIVE_SOWasp,"The power of love"
1,1,aggressive,TAG_XIVE_SOWasp,"is a curious thing"
1,1,aggressive,TAG_XIVE_SOWasp,"Make one man weep"
1,1,timid,TAG_BM2_HWasp2,"And another man sing"
1,1,timid,TAG_BM2_HWasp2,"Change a hawk"
1,1,timid,TAG_BM2_HWasp2,"Into a little white dove"
1,1,reckless,TAG_XIVO_I1,"More than a feeling"
1,1,reckless,TAG_XIVO_I1,"Thats the power of love."
