aquiredRound,refittedRound,defaultPersonality,variantID,shipName
1,1,steady,1_omen,
1,1,steady,1_omen,
1,1,steady,1_omen,
1,1,steady,1_omen,
1,1,steady,1_omen,
1,1,cautious,1_enforcer_xiv_so,
1,1,cautious,1_enforcer_xiv_so,
1,1,cautious,1_enforcer_xiv_so,
1,1,cautious,1_enforcer_xiv_so,
1,1,steady,1_onslaught_xiv,
1,1,steady,1_onslaught_xiv,
1,1,cautious,1_enforcer_xiv_so,
1,1,cautious,1_enforcer_xiv_so,
1,1,cautious,1_enforcer_xiv_so,
1,1,cautious,1_enforcer_xiv_so,
1,1,cautious,1_enforcer_xiv_so,
1,1,cautious,1_enforcer_xiv_so,
